id,week_ending,hscp,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
492,20200126,S37000011,2,All,d,25,31,-19.4
493,20200126,S37000011,3,All,d,31,22,40.9
494,20200126,S37000011,4,All,d,48,52.5,-8.6
495,20200126,S37000011,5,All,d,115,115,0
496,20200126,S37000012,1,All,d,221,175.5,25.9
497,20200126,S37000012,2,All,d,207,175.5,17.9
498,20200126,S37000012,3,All,d,134,125.5,6.8
499,20200126,S37000012,4,All,d,172,159,8.2
500,20200126,S37000012,5,All,d,395,331,19.3
501,20200126,S37000013,1,All,d,107,188.5,-43.2
502,20200126,S37000013,2,All,d,133,192.5,-30.9
503,20200126,S37000013,3,All,d,121,211,-42.7
504,20200126,S37000013,4,All,d,68,116,-41.4
505,20200126,S37000013,5,All,d,69,91.5,-24.6
506,20200126,S37000016,1,All,d,83,92.5,-10.3
507,20200126,S37000016,2,All,d,136,149.5,-9
508,20200126,S37000016,3,All,d,237,229.5,3.3
509,20200126,S37000016,4,All,d,167,186,-10.2
510,20200126,S37000016,5,All,d,52,47,10.6
511,20200126,S37000017,1,All,d,140,133,5.3
512,20200126,S37000017,2,All,d,37,33,12.1
513,20200126,S37000017,3,All,d,42,23,82.6
514,20200126,S37000017,4,All,d,21,29,-27.6
515,20200126,S37000017,5,All,d,25,27,-7.4
516,20200126,S37000018,1,All,d,32,24,33.3
517,20200126,S37000018,2,All,d,91,81.5,11.7
518,20200126,S37000018,3,All,d,66,54,22.2
519,20200126,S37000018,4,All,d,39,35,11.4
520,20200126,S37000018,5,All,d,11,17.5,-37.1
521,20200126,S37000019,1,All,d,7,7.5,-6.7
522,20200126,S37000019,2,All,d,44,39,12.8
523,20200126,S37000019,3,All,d,73,78.5,-7
524,20200126,S37000019,4,All,d,80,84.5,-5.3
525,20200126,S37000019,5,All,d,20,28,-28.6
526,20200126,S37000020,1,All,d,189,227.5,-16.9
