"id","week_ending","hscp","age_group","age_group_qf","sex","sex_qf","sas_incidents","average20182019","percent_variation"
10162,20200913,"S37000008","85 and over","","All","d",28,43,-34.9
10163,20200913,"S37000008","All ages","d","All","d",239,277.5,-13.9
10164,20200913,"S37000008","All ages","d","Female","",124,138,-10.1
10165,20200913,"S37000008","All ages","d","Male","",115,139.5,-17.6
10166,20200913,"S37000009","15 - 44","","All","d",26,25,4
10167,20200913,"S37000009","45 - 64","","All","d",39,29,34.5
10168,20200913,"S37000009","65 - 74","","All","d",31,22,40.9
10169,20200913,"S37000009","75 - 84","","All","d",36,43,-16.3
10170,20200913,"S37000009","85 and over","","All","d",42,35.5,18.3
10171,20200913,"S37000009","All ages","d","All","d",182,160.5,13.4
10172,20200913,"S37000009","All ages","d","Female","",100,85.5,17
10173,20200913,"S37000009","All ages","d","Male","",82,75,9.3
10174,20200913,"S37000010","Under 5","","All","d",5,10.5,-52.4
10175,20200913,"S37000010","15 - 44","","All","d",34,39.5,-13.9
10176,20200913,"S37000010","45 - 64","","All","d",41,27.5,49.1
10177,20200913,"S37000010","65 - 74","","All","d",20,32.5,-38.5
10178,20200913,"S37000010","75 - 84","","All","d",33,36,-8.3
10179,20200913,"S37000010","85 and over","","All","d",29,31.5,-7.9
10180,20200913,"S37000010","All ages","d","All","d",162,183,-11.5
10181,20200913,"S37000010","All ages","d","Female","",88,99.5,-11.6
10182,20200913,"S37000010","All ages","d","Male","",74,83.5,-11.4
10183,20200913,"S37000011","5 - 14","","All","d",5,2.5,100
10184,20200913,"S37000011","15 - 44","","All","d",25,22.5,11.1
10185,20200913,"S37000011","45 - 64","","All","d",34,25.5,33.3
10186,20200913,"S37000011","65 - 74","","All","d",17,20.5,-17.1
10187,20200913,"S37000011","75 - 84","","All","d",43,35.5,21.1
10188,20200913,"S37000011","85 and over","","All","d",31,35,-11.4
10189,20200913,"S37000011","All ages","d","All","d",159,148,7.4
10190,20200913,"S37000011","All ages","d","Female","",83,87,-4.6
10191,20200913,"S37000011","All ages","d","Male","",76,61,24.6
10192,20200913,"S37000012","Under 5","","All","d",16,23.5,-31.9
10193,20200913,"S37000012","5 - 14","","All","d",7,14,-50
10194,20200913,"S37000012","15 - 44","","All","d",208,198.5,4.8
10195,20200913,"S37000012","45 - 64","","All","d",220,172,27.9
10196,20200913,"S37000012","65 - 74","","All","d",121,102.5,18
10197,20200913,"S37000012","75 - 84","","All","d",114,119,-4.2
10198,20200913,"S37000012","85 and over","","All","d",130,102.5,26.8
10199,20200913,"S37000012","All ages","d","All","d",816,732,11.5
10200,20200913,"S37000012","All ages","d","Female","",445,384.5,15.7
10201,20200913,"S37000012","All ages","d","Male","",371,347.5,6.8
10202,20200913,"S37000013","Under 5","","All","d",11,9.5,15.8
10203,20200913,"S37000013","5 - 14","","All","d",10,7.5,33.3
10204,20200913,"S37000013","15 - 44","","All","d",61,71.5,-14.7
10205,20200913,"S37000013","45 - 64","","All","d",76,71,7
10206,20200913,"S37000013","65 - 74","","All","d",64,48,33.3
10207,20200913,"S37000013","75 - 84","","All","d",65,55,18.2
10208,20200913,"S37000013","85 and over","","All","d",43,44.5,-3.4
10209,20200913,"S37000013","All ages","d","All","d",330,307,7.5
10210,20200913,"S37000013","All ages","d","Female","",157,152,3.3
10211,20200913,"S37000013","All ages","d","Male","",173,155,11.6
10212,20200913,"S37000016","Under 5","","All","d",14,18,-22.2
10213,20200913,"S37000016","5 - 14","","All","d",10,12.5,-20
10214,20200913,"S37000016","15 - 44","","All","d",91,86.5,5.2
