"id","date","hb","hb_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","hospital_admissions","hospital_admissions_qf","icu_admissions","icu_admissions_qf","positive_pillar1","positive_pillar2"
3014,20200916,"S08000025","NHS Orkney",2,20,89.2857142857143,8.92857142857143,0,1,4.46428571428571,14,1631,7281.25,143,2,1.3986013986014,0.638977635782748,32,111,NA,":",NA,":",0,2
3015,20200916,"S08000026","NHS Shetland",3,60,262.352426759948,13.1176213379974,0,5,21.8627022299956,18,2556,11176.2133799738,124,3,2.41935483870968,0.512820512820513,20,104,NA,":",NA,":",0,3
3016,20200916,"S08000028","NHS Western Isles",0,10,37.7358490566038,3.77358490566038,0,0,0,12,1907,7196.22641509434,114,0,0,0.221238938053097,15,99,NA,":",NA,":",0,0
3017,20200916,"S08000029","NHS Fife",5,1075,287.333279875979,9.08775024724026,0,126,33.6781332691845,251,31762,8489.56245155427,1355,6,0.44280442804428,0.568630548096667,258,1097,NA,":",NA,":",0,6
3018,20200916,"S08000030","NHS Tayside",13,2242,538.230704597287,11.2831592845997,0,209,50.1740487336454,264,41149,9878.52598727644,1496,13,0.868983957219251,0.662968475172507,249,1247,NA,":",NA,":",3,10
3019,20200916,"S08000031","NHS Greater Glasgow and Clyde",93,6897,581.907461779893,51.3819985825656,0,755,63.7001788667274,1026,117859,9943.89321993858,4589,105,2.28808019176291,2.67074803902812,1538,3051,NA,":",NA,":",18,87
3020,20200916,"S08000032","NHS Lanarkshire",44,3563,538.250045319959,45.4710254396036,0,364,54.9882168106834,512,62621,9459.93715632364,2661,47,1.7662532882375,2.34126102096762,902,1759,NA,":",NA,":",5,42
3021,20200916,"S92000003","Scotland",268,23758,434.650567142334,26.8935236004391,0,2560,46.8349798755946,3986,511092,9350.38419319429,20120,305,1.51590457256461,1.58999821664899,5717,14403,35,"",1,"",45,260
3022,20200917,"S08000015","NHS Ayrshire and Arran",9,1526,414.685181662545,17.3917769504606,0,175,47.5556400989157,209,32332,8786.10831816082,1040,10,0.961538461538462,0.987248046071575,288,752,NA,":",NA,":",3,7
3023,20200917,"S08000016","NHS Borders",2,409,354.911489066296,13.0163137799375,0,39,33.8424158278376,94,10420,9041.9993057966,446,8,1.79372197309417,2.15568862275449,132,314,NA,":",NA,":",0,8
3024,20200917,"S08000017","NHS Dumfries and Galloway",2,348,234.67529840178,10.1153145862836,0,40,26.9741722300897,99,14556,9815.90127452964,380,3,0.789473684210526,0.627615062761506,176,204,NA,":",NA,":",3,0
3025,20200917,"S08000019","NHS Forth Valley",9,1281,418.723237341876,17.9779688163959,0,135,44.1277416402445,241,27511,8992.58000196123,962,10,1.03950103950104,0.930372148859544,313,649,NA,":",NA,":",2,8
3026,20200917,"S08000020","NHS Grampian",12,2041,348.561181794894,11.1006745794552,0,156,26.6416189906925,389,59108,10094.4411237298,1502,13,0.865512649800266,0.717021903545821,420,1082,NA,":",NA,":",0,13
3027,20200917,"S08000022","NHS Highland",10,554,172.66097363336,20.5697188805086,0,65,20.2580564732282,248,29196,9099.29564295955,973,10,1.02774922918808,1.20382585751979,294,679,NA,":",NA,":",1,9
3028,20200917,"S08000024","NHS Lothian",59,3835,420.27857839538,27.3975605212112,0,490,53.6992186215739,566,80330,8803.38414667558,2446,68,2.78004905968929,1.92513368983957,727,1719,NA,":",NA,":",3,65
3029,20200917,"S08000025","NHS Orkney",0,20,89.2857142857143,8.92857142857143,0,1,4.46428571428571,14,1645,7343.75,25,0,0,0.634920634920635,25,0,NA,":",NA,":",0,0
3030,20200917,"S08000026","NHS Shetland",0,60,262.352426759948,13.1176213379974,0,5,21.8627022299956,32,2588,11316.1346742457,66,0,0,0.499168053244592,26,40,NA,":",NA,":",0,0
3031,20200917,"S08000028","NHS Western Isles",0,10,37.7358490566038,3.77358490566038,0,0,0,15,1922,7252.83018867925,97,0,0,0.228310502283105,14,83,NA,":",NA,":",0,0
3106,20200922,"S08000028","NHS Western Isles",0,10,37.7358490566038,0,0,0,0,13,1979,7467.92452830189,89,0,0,0,16,73,NA,":",NA,":",0,0
3033,20200917,"S08000030","NHS Tayside",6,2248,539.671107910215,12.0033609410635,0,209,50.1740487336454,273,41422,9944.06433801464,1185,7,0.590717299578059,0.721874148733315,307,878,NA,":",NA,":",3,4
