id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
205,20200112,S08000024,,45 - 64,,All,d,All,d,613,578.5,6
206,20200112,S08000024,,65 - 74,,All,d,All,d,372,368.5,0.9
207,20200112,S08000024,,75 - 84,,All,d,All,d,395,365,8.2
208,20200112,S08000024,,85 and over,,All,d,All,d,244,223,9.4
209,20200112,S08000024,,All ages,d,All,d,All,d,2336,2166.5,7.8
210,20200112,S08000024,,All ages,d,Female,,All,d,1167,1079,8.2
211,20200112,S08000024,,All ages,d,Male,,All,d,1153,1066.5,8.1
212,20200112,S08000025,,45 - 64,,All,d,All,d,10,8.5,17.6
213,20200112,S08000025,,65 - 74,,All,d,All,d,10,10.5,-4.8
214,20200112,S08000025,,75 - 84,,All,d,All,d,15,7,114.3
215,20200112,S08000025,,85 and over,,All,d,All,d,5,5.5,-9.1
216,20200112,S08000025,,All ages,d,All,d,All,d,44,40,10
217,20200112,S08000025,,All ages,d,Female,,All,d,21,17.5,20
218,20200112,S08000025,,All ages,d,Male,,All,d,22,21.5,2.3
219,20200112,S08000026,,15 - 44,,All,d,All,d,6,6.5,-7.7
220,20200112,S08000026,,45 - 64,,All,d,All,d,9,9,0
221,20200112,S08000026,,65 - 74,,All,d,All,d,6,8.5,-29.4
222,20200112,S08000026,,75 - 84,,All,d,All,d,8,13.5,-40.7
223,20200112,S08000026,,All ages,d,All,d,All,d,34,47,-27.7
224,20200112,S08000026,,All ages,d,Female,,All,d,17,23.5,-27.7
225,20200112,S08000026,,All ages,d,Male,,All,d,17,22,-22.7
226,20200112,S08000028,,15 - 44,,All,d,All,d,10,9,11.1
227,20200112,S08000028,,45 - 64,,All,d,All,d,19,14.5,31
228,20200112,S08000028,,65 - 74,,All,d,All,d,19,18,5.6
229,20200112,S08000028,,75 - 84,,All,d,All,d,22,19,15.8
230,20200112,S08000028,,85 and over,,All,d,All,d,12,12,0
231,20200112,S08000028,,All ages,d,All,d,All,d,86,77.5,11
232,20200112,S08000028,,All ages,d,Female,,All,d,42,38.5,9.1
233,20200112,S08000028,,All ages,d,Male,,All,d,44,39,12.8
234,20200112,S08000029,,Under 5,,All,d,All,d,63,66.5,-5.3
235,20200112,S08000029,,5 - 14,,All,d,All,d,27,32.5,-16.9
236,20200112,S08000029,,15 - 44,,All,d,All,d,178,162.5,9.5
237,20200112,S08000029,,45 - 64,,All,d,All,d,189,204.5,-7.6
238,20200112,S08000029,,65 - 74,,All,d,All,d,169,161.5,4.6
239,20200112,S08000029,,75 - 84,,All,d,All,d,184,186.5,-1.3
240,20200112,S08000029,,85 and over,,All,d,All,d,132,118.5,11.4
241,20200112,S08000029,,All ages,d,All,d,All,d,942,932.5,1
242,20200112,S08000029,,All ages,d,Female,,All,d,478,476.5,0.3
243,20200112,S08000029,,All ages,d,Male,,All,d,460,454.5,1.2
244,20200112,S08000030,,Under 5,,All,d,All,d,70,98.5,-28.9
245,20200112,S08000030,,5 - 14,,All,d,All,d,47,57.5,-18.3
246,20200112,S08000030,,15 - 44,,All,d,All,d,257,207,24.2
247,20200112,S08000030,,45 - 64,,All,d,All,d,327,283.5,15.3
248,20200112,S08000030,,65 - 74,,All,d,All,d,219,215.5,1.6
249,20200112,S08000030,,75 - 84,,All,d,All,d,219,243,-9.9
250,20200112,S08000030,,85 and over,,All,d,All,d,172,168.5,2.1
251,20200112,S08000030,,All ages,d,All,d,All,d,1311,1273.5,2.9
252,20200112,S08000030,,All ages,d,Female,,All,d,668,637.5,4.8
253,20200112,S08000030,,All ages,d,Male,,All,d,635,633.5,0.2
254,20200112,S08000031,,Under 5,,All,d,All,d,257,279,-7.9
255,20200112,S08000031,,5 - 14,,All,d,All,d,182,154,18.2
256,20200112,S08000031,,15 - 44,,All,d,All,d,816,803.5,1.6
