id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,sas_incidents,average20182019,percent_variation
372,20200119,S08000029,,45 - 64,,All,d,155,173,-10.4
373,20200119,S08000029,,65 - 74,,All,d,125,140.5,-11
374,20200119,S08000029,,75 - 84,,All,d,158,173,-8.7
375,20200119,S08000029,,85 and over,,All,d,127,149,-14.8
376,20200119,S08000029,,All ages,d,All,d,812,882,-7.9
377,20200119,S08000029,,All ages,d,Female,,383,430.5,-11
378,20200119,S08000029,,All ages,d,Male,,371,398,-6.8
379,20200119,S08000030,,Under 5,,All,d,32,34,-5.9
380,20200119,S08000030,,5 - 14,,All,d,24,13,84.6
381,20200119,S08000030,,15 - 44,,All,d,161,189.5,-15
382,20200119,S08000030,,45 - 64,,All,d,164,181,-9.4
383,20200119,S08000030,,65 - 74,,All,d,145,132,9.8
384,20200119,S08000030,,75 - 84,,All,d,178,189,-5.8
385,20200119,S08000030,,85 and over,,All,d,160,152,5.3
386,20200119,S08000030,,All ages,d,All,d,904,919,-1.6
387,20200119,S08000030,,All ages,d,Female,,395,441.5,-10.5
388,20200119,S08000030,,All ages,d,Male,,434,422.5,2.7
389,20200119,S08000031,,Under 5,,All,d,75,92.5,-18.9
390,20200119,S08000031,,5 - 14,,All,d,41,48,-14.6
391,20200119,S08000031,,15 - 44,,All,d,571,582,-1.9
392,20200119,S08000031,,45 - 64,,All,d,664,642.5,3.3
393,20200119,S08000031,,65 - 74,,All,d,377,412,-8.5
394,20200119,S08000031,,75 - 84,,All,d,426,478.5,-11
395,20200119,S08000031,,85 and over,,All,d,377,365.5,3.1
396,20200119,S08000031,,All ages,d,All,d,2687,2775,-3.2
397,20200119,S08000031,,All ages,d,Female,,1290,1285.5,0.4
398,20200119,S08000031,,All ages,d,Male,,1152,1242,-7.2
399,20200119,S08000032,,Under 5,,All,d,40,55.5,-27.9
400,20200119,S08000032,,5 - 14,,All,d,25,28.5,-12.3
401,20200119,S08000032,,15 - 44,,All,d,254,272.5,-6.8
402,20200119,S08000032,,45 - 64,,All,d,341,349,-2.3
403,20200119,S08000032,,65 - 74,,All,d,237,227,4.4
404,20200119,S08000032,,75 - 84,,All,d,273,290.5,-6
405,20200119,S08000032,,85 and over,,All,d,201,204,-1.5
406,20200119,S08000032,,All ages,d,All,d,1427,1487.5,-4.1
407,20200119,S08000032,,All ages,d,Female,,701,723.5,-3.1
408,20200119,S08000032,,All ages,d,Male,,635,664.5,-4.4
409,20200119,S92000003,d,Under 5,,All,d,365,422,-13.5
410,20200119,S92000003,d,5 - 14,,All,d,213,213.5,-0.2
411,20200119,S92000003,d,15 - 44,,All,d,2332,2487.5,-6.3
412,20200119,S92000003,d,45 - 64,,All,d,2592,2615.5,-0.9
413,20200119,S92000003,d,65 - 74,,All,d,1809,1817.5,-0.5
414,20200119,S92000003,d,75 - 84,,All,d,2308,2285.5,1
415,20200119,S92000003,d,85 and over,,All,d,1803,1819,-0.9
416,20200119,S92000003,d,All ages,d,All,d,11999,12232,-1.9
417,20200119,S92000003,d,All ages,d,Female,,5731,5764.5,-0.6
418,20200119,S92000003,d,All ages,d,Male,,5255,5478,-4.1
419,20200126,S08000015,,Under 5,,All,d,30,32.5,-7.7
420,20200126,S08000015,,5 - 14,,All,d,20,17.5,14.3
421,20200126,S08000015,,15 - 44,,All,d,170,185.5,-8.4
422,20200126,S08000015,,45 - 64,,All,d,178,220.5,-19.3
423,20200126,S08000015,,65 - 74,,All,d,143,167.5,-14.6
424,20200126,S08000015,,75 - 84,,All,d,228,201.5,13.2
425,20200126,S08000015,,85 and over,,All,d,154,162.5,-5.2
426,20200126,S08000015,,All ages,d,All,d,949,1023.5,-7.3
427,20200126,S08000015,,All ages,d,Female,,508,499,1.8
428,20200126,S08000015,,All ages,d,Male,,397,453.5,-12.5
