id,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
331,20200119,S37000008,4,21,24.5,-14.3
332,20200119,S37000008,5,27,16.5,63.6
333,20200119,S37000009,1,15,8.5,76.5
334,20200119,S37000009,2,38,43,-11.6
335,20200119,S37000009,3,13,11,18.2
336,20200119,S37000009,4,35,33.5,4.5
337,20200119,S37000009,5,67,67.5,-0.7
338,20200119,S37000010,1,8,7,14.3
339,20200119,S37000010,2,61,61,0
340,20200119,S37000010,3,37,48.5,-23.7
341,20200119,S37000010,4,44,46.5,-5.4
342,20200119,S37000010,5,23,21,9.5
343,20200119,S37000011,1,10,15,-33.3
344,20200119,S37000011,2,13,23.5,-44.7
345,20200119,S37000011,3,21,25.5,-17.6
346,20200119,S37000011,4,28,21,33.3
347,20200119,S37000011,5,66,66.5,-0.8
348,20200119,S37000012,1,208,191.5,8.6
349,20200119,S37000012,2,150,142,5.6
350,20200119,S37000012,3,99,122,-18.9
351,20200119,S37000012,4,133,116,14.7
352,20200119,S37000012,5,223,220,1.4
353,20200119,S37000013,1,81,65.5,23.7
354,20200119,S37000013,2,91,98.5,-7.6
355,20200119,S37000013,3,40,49.5,-19.2
356,20200119,S37000013,4,42,43.5,-3.4
357,20200119,S37000013,5,37,33.5,10.4
358,20200119,S37000016,1,45,59,-23.7
359,20200119,S37000016,2,115,129,-10.9
360,20200119,S37000016,3,132,144.5,-8.7
361,20200119,S37000016,4,142,140,1.4
362,20200119,S37000016,5,35,37.5,-6.7
363,20200119,S37000017,1,98,114,-14
364,20200119,S37000017,2,19,19.5,-2.6
365,20200119,S37000017,3,22,28.5,-22.8
366,20200119,S37000017,4,28,16,75
367,20200119,S37000017,5,18,21.5,-16.3
368,20200119,S37000018,1,19,26,-26.9
369,20200119,S37000018,2,78,74.5,4.7
370,20200119,S37000018,3,28,35.5,-21.1
371,20200119,S37000018,4,17,14.5,17.2
372,20200119,S37000018,5,18,14,28.6
373,20200119,S37000019,2,37,35.5,4.2
374,20200119,S37000019,3,61,50,22
375,20200119,S37000019,4,68,65.5,3.8
376,20200119,S37000019,5,33,27.5,20
377,20200119,S37000020,1,168,204.5,-17.8
378,20200119,S37000020,2,70,83.5,-16.2
379,20200119,S37000020,3,37,47.5,-22.1
380,20200119,S37000020,4,42,37.5,12
381,20200119,S37000020,5,21,16.5,27.3
382,20200119,S37000022,2,9,8.5,5.9
383,20200119,S37000022,3,17,17,0
384,20200119,S37000022,4,25,18,38.9
385,20200119,S37000024,1,143,147,-2.7
386,20200119,S37000024,2,69,70,-1.4
387,20200119,S37000024,3,53,51.5,2.9
388,20200119,S37000024,4,59,50,18
389,20200119,S37000024,5,30,33.5,-10.4
390,20200119,S37000025,1,31,22.5,37.8
391,20200119,S37000025,2,46,55,-16.4
392,20200119,S37000025,3,67,80.5,-16.8
393,20200119,S37000025,4,102,83,22.9
394,20200119,S37000025,5,13,11,18.2
395,20200119,S37000026,2,6,2.5,140
396,20200119,S37000026,3,9,20,-55
397,20200119,S37000026,4,21,28,-25
398,20200119,S37000027,1,77,75.5,2
399,20200119,S37000027,2,82,98,-16.3
400,20200119,S37000027,3,48,51,-5.9
401,20200119,S37000027,4,41,36.5,12.3
402,20200119,S37000027,5,47,44,6.8
403,20200119,S37000028,1,197,186.5,5.6
404,20200119,S37000028,2,197,210.5,-6.4
405,20200119,S37000028,3,129,131.5,-1.9
406,20200119,S37000028,4,92,93.5,-1.6
407,20200119,S37000028,5,65,57,14
408,20200119,S37000029,1,93,95.5,-2.6
409,20200119,S37000029,2,64,56.5,13.3
410,20200119,S37000029,3,33,39.5,-16.5
411,20200119,S37000029,4,23,15.5,48.4
412,20200119,S37000030,1,69,85,-18.8
413,20200119,S37000030,2,113,101,11.9
414,20200119,S37000030,3,72,63.5,13.4
415,20200119,S37000030,4,33,39,-15.4
416,20200119,S37000030,5,26,26.5,-1.9
417,20200119,S37000031,2,19,21.5,-11.6
418,20200119,S37000031,3,57,59,-3.4
419,20200119,S37000031,4,5,2,150
420,20200119,S37000032,1,220,230.5,-4.6
421,20200119,S37000032,2,185,189,-2.1
422,20200119,S37000032,3,134,190,-29.5
423,20200119,S37000032,4,92,119.5,-23
424,20200119,S37000032,5,127,107,18.7
425,20200119,S37000033,1,21,22.5,-6.7
426,20200119,S37000033,2,41,52,-21.2
427,20200119,S37000033,3,88,75.5,16.6
428,20200119,S37000033,4,88,102.5,-14.1
429,20200119,S37000033,5,42,38.5,9.1
430,20200119,S37000034,1,830,863,-3.8
431,20200119,S37000034,2,194,225,-13.8
432,20200119,S37000034,3,102,131,-22.1
433,20200119,S37000034,4,92,89.5,2.8
434,20200119,S37000034,5,58,60,-3.3
435,20200119,S37000035,1,279,304.5,-8.4
436,20200119,S37000035,2,200,199.5,0.3
437,20200119,S37000035,3,103,130.5,-21.1
438,20200119,S37000035,4,44,45,-2.2
439,20200119,S37000035,5,37,29,27.6
440,20200126,S37000001,1,62,55.5,11.7
441,20200126,S37000001,2,115,128.5,-10.5
442,20200126,S37000001,3,74,83,-10.8
443,20200126,S37000001,4,72,74.5,-3.4
444,20200126,S37000001,5,122,109.5,11.4
445,20200126,S37000002,1,22,16,37.5
446,20200126,S37000002,2,51,59,-13.6
447,20200126,S37000002,3,105,91,15.4
448,20200126,S37000002,4,162,159.5,1.6
449,20200126,S37000002,5,93,103.5,-10.1
450,20200126,S37000003,1,28,28.5,-1.8
451,20200126,S37000003,2,52,47,10.6
452,20200126,S37000003,3,85,76,11.8
453,20200126,S37000003,4,68,54.5,24.8
454,20200126,S37000003,5,31,28,10.7
455,20200126,S37000004,1,24,31,-22.6
456,20200126,S37000004,2,58,48.5,19.6
457,20200126,S37000004,3,104,84,23.8
458,20200126,S37000004,4,45,47.5,-5.3
459,20200126,S37000004,5,13,9.5,36.8
460,20200126,S37000005,1,50,79.5,-37.1
461,20200126,S37000005,2,72,68,5.9
462,20200126,S37000005,3,35,42,-16.7
463,20200126,S37000005,4,46,46.5,-1.1
464,20200126,S37000005,5,40,45,-11.1
465,20200126,S37000006,1,45,42.5,5.9
466,20200126,S37000006,2,133,111.5,19.3
467,20200126,S37000006,3,113,121.5,-7
468,20200126,S37000006,4,41,58.5,-29.9
469,20200126,S37000006,5,24,24,0
470,20200126,S37000007,1,158,142,11.3
471,20200126,S37000007,2,79,85.5,-7.6
472,20200126,S37000007,3,46,36.5,26
473,20200126,S37000007,4,35,32,9.4
474,20200126,S37000007,5,37,24,54.2
475,20200126,S37000008,1,133,112,18.8
476,20200126,S37000008,2,72,80.5,-10.6
477,20200126,S37000008,3,32,50.5,-36.6
478,20200126,S37000008,4,31,23.5,31.9
479,20200126,S37000008,5,19,21,-9.5
480,20200126,S37000009,1,13,12.5,4
481,20200126,S37000009,2,38,49.5,-23.2
482,20200126,S37000009,3,15,11,36.4
483,20200126,S37000009,4,36,33,9.1
484,20200126,S37000009,5,76,74.5,2
485,20200126,S37000010,1,6,8,-25
486,20200126,S37000010,2,68,51,33.3
487,20200126,S37000010,3,47,45.5,3.3
488,20200126,S37000010,4,52,50.5,3
489,20200126,S37000010,5,12,17.5,-31.4
490,20200126,S37000011,1,13,25,-48
491,20200126,S37000011,2,19,19,0
492,20200126,S37000011,3,25,26,-3.8
493,20200126,S37000011,4,18,19.5,-7.7
494,20200126,S37000011,5,63,77.5,-18.7
495,20200126,S37000012,1,209,183.5,13.9
496,20200126,S37000012,2,150,155,-3.2
497,20200126,S37000012,3,110,117.5,-6.4
498,20200126,S37000012,4,115,109.5,5
499,20200126,S37000012,5,253,237,6.8
500,20200126,S37000013,1,74,72.5,2.1
501,20200126,S37000013,2,103,110,-6.4
502,20200126,S37000013,3,61,47,29.8
503,20200126,S37000013,4,37,39,-5.1
504,20200126,S37000013,5,33,28.5,15.8
505,20200126,S37000016,1,51,58.5,-12.8
506,20200126,S37000016,2,105,121,-13.2
507,20200126,S37000016,3,143,141,1.4
508,20200126,S37000016,4,123,131,-6.1
509,20200126,S37000016,5,31,28.5,8.8
510,20200126,S37000017,1,109,100.5,8.5
511,20200126,S37000017,2,23,17.5,31.4
512,20200126,S37000017,3,35,25.5,37.3
513,20200126,S37000017,4,28,21.5,30.2
514,20200126,S37000017,5,18,17,5.9
515,20200126,S37000018,1,25,29,-13.8
516,20200126,S37000018,2,78,72.5,7.6
517,20200126,S37000018,3,38,37,2.7
518,20200126,S37000018,4,19,23,-17.4
519,20200126,S37000018,5,5,10,-50
520,20200126,S37000019,2,42,36.5,15.1
521,20200126,S37000019,3,60,56,7.1
