id,week_ending,hscp,simd_quintile,number_attendances,average20182019,percent_variation
442,20200119,S37000034,2,529,515,2.7
443,20200119,S37000034,3,299,333.5,-10.3
444,20200119,S37000034,4,261,251.5,3.8
445,20200119,S37000034,5,181,201,-10
446,20200119,S37000035,1,859,866.5,-0.9
447,20200119,S37000035,2,606,577,5
448,20200119,S37000035,3,369,347.5,6.2
449,20200119,S37000035,4,215,193,11.4
450,20200119,S37000035,5,117,105,11.4
451,20200126,S37000001,1,100,100.5,-0.5
452,20200126,S37000001,2,240,239,0.4
453,20200126,S37000001,3,141,128,10.2
454,20200126,S37000001,4,138,137,0.7
455,20200126,S37000001,5,269,242.5,10.9
456,20200126,S37000002,1,10,8,25
457,20200126,S37000002,2,43,32,34.4
458,20200126,S37000002,3,81,86.5,-6.4
459,20200126,S37000002,4,191,181,5.5
460,20200126,S37000002,5,188,181,3.9
461,20200126,S37000003,1,24,17,41.2
462,20200126,S37000003,2,34,31,9.7
463,20200126,S37000003,3,73,59.5,22.7
464,20200126,S37000003,4,57,41.5,37.3
465,20200126,S37000003,5,31,31.5,-1.6
466,20200126,S37000004,1,28,21.5,30.2
467,20200126,S37000004,2,45,49.5,-9.1
468,20200126,S37000004,3,83,93.5,-11.2
469,20200126,S37000004,4,61,72.5,-15.9
470,20200126,S37000004,5,19,11,72.7
471,20200126,S37000005,1,119,123.5,-3.6
472,20200126,S37000005,2,98,109.5,-10.5
473,20200126,S37000005,3,69,66,4.5
474,20200126,S37000005,4,104,73,42.5
475,20200126,S37000005,5,73,73,0
476,20200126,S37000006,1,128,116.5,9.9
477,20200126,S37000006,2,287,249,15.3
478,20200126,S37000006,3,229,260,-11.9
479,20200126,S37000006,4,103,98.5,4.6
480,20200126,S37000006,5,54,47.5,13.7
481,20200126,S37000007,1,270,247.5,9.1
482,20200126,S37000007,2,104,117,-11.1
483,20200126,S37000007,3,63,56.5,11.5
484,20200126,S37000007,4,77,81,-4.9
485,20200126,S37000007,5,62,60,3.3
486,20200126,S37000008,1,286,271.5,5.3
487,20200126,S37000008,2,205,184.5,11.1
488,20200126,S37000008,3,93,101,-7.9
489,20200126,S37000008,4,90,85,5.9
490,20200126,S37000008,5,53,61.5,-13.8
491,20200126,S37000009,1,35,38,-7.9
492,20200126,S37000009,2,74,74,0
493,20200126,S37000009,3,30,24,25
494,20200126,S37000009,4,63,65,-3.1
495,20200126,S37000009,5,182,165.5,10
496,20200126,S37000010,1,12,26.5,-54.7
497,20200126,S37000010,2,146,149,-2
498,20200126,S37000010,3,91,100,-9
499,20200126,S37000010,4,114,120.5,-5.4
500,20200126,S37000010,5,51,58.5,-12.8
501,20200126,S37000011,1,49,57,-14
502,20200126,S37000011,2,59,55.5,6.3
503,20200126,S37000011,3,49,55.5,-11.7
504,20200126,S37000011,4,64,54,18.5
505,20200126,S37000011,5,188,169.5,10.9
506,20200126,S37000012,1,490,474.5,3.3
507,20200126,S37000012,2,350,337,3.9
508,20200126,S37000012,3,307,266.5,15.2
509,20200126,S37000012,4,318,291,9.3
510,20200126,S37000012,5,674,616.5,9.3
511,20200126,S37000013,1,177,148,19.6
512,20200126,S37000013,2,223,218.5,2.1
513,20200126,S37000013,3,124,136,-8.8
514,20200126,S37000013,4,102,108.5,-6
515,20200126,S37000013,5,90,90,0
516,20200126,S37000016,1,114,105.5,8.1
517,20200126,S37000016,2,194,192,1
518,20200126,S37000016,3,234,223,4.9
519,20200126,S37000016,4,252,250,0.8
520,20200126,S37000016,5,78,63,23.8
521,20200126,S37000017,1,309,289,6.9
522,20200126,S37000017,2,82,69,18.8
523,20200126,S37000017,3,80,76,5.3
524,20200126,S37000017,4,92,64,43.8
525,20200126,S37000017,5,48,50,-4
526,20200126,S37000018,1,70,62.5,12
527,20200126,S37000018,2,228,206.5,10.4
528,20200126,S37000018,3,131,104.5,25.4
529,20200126,S37000018,4,75,60,25
530,20200126,S37000018,5,36,65.5,-45
531,20200126,S37000019,1,7,7,0
532,20200126,S37000019,2,106,89.5,18.4
533,20200126,S37000019,3,134,110,21.8
534,20200126,S37000019,4,168,143.5,17.1
535,20200126,S37000019,5,75,72.5,3.4
536,20200126,S37000020,1,391,373,4.8
537,20200126,S37000020,2,144,158.5,-9.1
538,20200126,S37000020,3,70,69,1.4
539,20200126,S37000020,4,67,70,-4.3
540,20200126,S37000020,5,53,52,1.9
541,20200126,S37000022,2,10,11,-9.1
542,20200126,S37000022,3,37,35,5.7
543,20200126,S37000022,4,54,52,3.8
544,20200126,S37000022,5,9,9.5,-5.3
545,20200126,S37000024,1,413,395.5,4.4
546,20200126,S37000024,2,237,215.5,10
547,20200126,S37000024,3,198,178,11.2
548,20200126,S37000024,4,147,164,-10.4
549,20200126,S37000024,5,127,126,0.8
550,20200126,S37000025,1,54,45,20
551,20200126,S37000025,2,114,99,15.2
552,20200126,S37000025,3,189,199,-5
553,20200126,S37000025,4,152,188,-19.1
554,20200126,S37000025,5,32,44.5,-28.1
555,20200126,S37000026,3,29,34,-14.7
556,20200126,S37000026,4,90,84.5,6.5
557,20200126,S37000027,1,162,154,5.2
558,20200126,S37000027,2,175,157.5,11.1
559,20200126,S37000027,3,124,138.5,-10.5
560,20200126,S37000027,4,75,75,0
561,20200126,S37000027,5,107,101.5,5.4
562,20200126,S37000028,1,478,509,-6.1
563,20200126,S37000028,2,519,587,-11.6
564,20200126,S37000028,3,328,352,-6.8
565,20200126,S37000028,4,333,312,6.7
566,20200126,S37000028,5,213,211,0.9
567,20200126,S37000029,1,171,184.5,-7.3
568,20200126,S37000029,2,125,81.5,53.4
569,20200126,S37000029,3,41,53,-22.6
570,20200126,S37000029,4,37,35,5.7
571,20200126,S37000029,5,14,11,27.3
572,20200126,S37000030,1,237,220,7.7
573,20200126,S37000030,2,334,295,13.2
