id,week_ending,hscp,age_group,age_group_qf,sex,sex_qf,number_attendances,average20182019,percent_variation
308,20200105,S37000035,All ages,d,Female,,1168,1102,6
309,20200105,S37000035,All ages,d,Male,,1119,1070,4.6
310,20200112,S37000001,Under 5,,All,d,82,72,13.9
311,20200112,S37000001,5 - 14,,All,d,80,77.5,3.2
312,20200112,S37000001,15 - 44,,All,d,311,324.5,-4.2
313,20200112,S37000001,45 - 64,,All,d,151,170,-11.2
314,20200112,S37000001,65 - 74,,All,d,57,63,-9.5
315,20200112,S37000001,75 - 84,,All,d,67,70,-4.3
316,20200112,S37000001,85 and over,,All,d,46,42,9.5
317,20200112,S37000001,All ages,d,All,d,806,833,-3.2
318,20200112,S37000001,All ages,d,Female,,389,394,-1.3
319,20200112,S37000001,All ages,d,Male,,405,425,-4.7
320,20200112,S37000002,Under 5,,All,d,48,43.5,10.3
321,20200112,S37000002,5 - 14,,All,d,47,48.5,-3.1
322,20200112,S37000002,15 - 44,,All,d,178,162,9.9
323,20200112,S37000002,45 - 64,,All,d,106,112,-5.4
324,20200112,S37000002,65 - 74,,All,d,56,33.5,67.2
325,20200112,S37000002,75 - 84,,All,d,47,41,14.6
326,20200112,S37000002,85 and over,,All,d,26,24,8.3
327,20200112,S37000002,All ages,d,All,d,511,466.5,9.5
328,20200112,S37000002,All ages,d,Female,,237,233.5,1.5
329,20200112,S37000002,All ages,d,Male,,271,231,17.3
330,20200112,S37000003,Under 5,,All,d,17,17,0
331,20200112,S37000003,5 - 14,,All,d,15,16.5,-9.1
332,20200112,S37000003,15 - 44,,All,d,55,67.5,-18.5
333,20200112,S37000003,45 - 64,,All,d,49,41.5,18.1
334,20200112,S37000003,65 - 74,,All,d,23,17.5,31.4
335,20200112,S37000003,75 - 84,,All,d,27,22,22.7
336,20200112,S37000003,85 and over,,All,d,20,12,66.7
337,20200112,S37000003,All ages,d,All,d,207,194,6.7
338,20200112,S37000003,All ages,d,Female,,92,95,-3.2
339,20200112,S37000003,All ages,d,Male,,114,99,15.2
340,20200112,S37000004,Under 5,,All,d,28,12,133.3
341,20200112,S37000004,5 - 14,,All,d,19,12.5,52
342,20200112,S37000004,15 - 44,,All,d,83,60,38.3
343,20200112,S37000004,45 - 64,,All,d,52,43,20.9
344,20200112,S37000004,65 - 74,,All,d,32,32.5,-1.5
345,20200112,S37000004,75 - 84,,All,d,31,28,10.7
346,20200112,S37000004,85 and over,,All,d,18,23,-21.7
347,20200112,S37000004,All ages,d,All,d,265,213,24.4
348,20200112,S37000004,All ages,d,Female,,143,103.5,38.2
349,20200112,S37000004,All ages,d,Male,,120,107.5,11.6
350,20200112,S37000005,Under 5,,All,d,21,25,-16
351,20200112,S37000005,5 - 14,,All,d,28,29,-3.4
352,20200112,S37000005,15 - 44,,All,d,156,143,9.1
353,20200112,S37000005,45 - 64,,All,d,98,88.5,10.7
354,20200112,S37000005,65 - 74,,All,d,55,35.5,54.9
355,20200112,S37000005,75 - 84,,All,d,57,42,35.7
356,20200112,S37000005,85 and over,,All,d,26,32,-18.8
357,20200112,S37000005,All ages,d,All,d,443,406.5,9
358,20200112,S37000005,All ages,d,Female,,198,191,3.7
359,20200112,S37000005,All ages,d,Male,,243,204,19.1
360,20200112,S37000006,Under 5,,All,d,63,74,-14.9
361,20200112,S37000006,5 - 14,,All,d,63,68,-7.4
362,20200112,S37000006,15 - 44,,All,d,272,259,5
363,20200112,S37000006,45 - 64,,All,d,198,166.5,18.9
364,20200112,S37000006,65 - 74,,All,d,102,94.5,7.9
365,20200112,S37000006,75 - 84,,All,d,87,86.5,0.6
366,20200112,S37000006,85 and over,,All,d,45,45,0
367,20200112,S37000006,All ages,d,All,d,835,794,5.2
368,20200112,S37000006,All ages,d,Female,,427,406,5.2
369,20200112,S37000006,All ages,d,Male,,403,387.5,4
370,20200112,S37000007,Under 5,,All,d,34,47.5,-28.4
371,20200112,S37000007,5 - 14,,All,d,33,48,-31.2
372,20200112,S37000007,15 - 44,,All,d,242,227.5,6.4
373,20200112,S37000007,45 - 64,,All,d,109,106.5,2.3
374,20200112,S37000007,65 - 74,,All,d,42,35,20
375,20200112,S37000007,75 - 84,,All,d,32,35.5,-9.9
376,20200112,S37000007,85 and over,,All,d,17,24.5,-30.6
377,20200112,S37000007,All ages,d,All,d,511,524.5,-2.6
378,20200112,S37000007,All ages,d,Female,,253,245.5,3.1
379,20200112,S37000007,All ages,d,Male,,256,279,-8.2
380,20200112,S37000008,Under 5,,All,d,74,74,0
381,20200112,S37000008,5 - 14,,All,d,55,67,-17.9
382,20200112,S37000008,15 - 44,,All,d,236,230.5,2.4
383,20200112,S37000008,45 - 64,,All,d,142,161.5,-12.1
384,20200112,S37000008,65 - 74,,All,d,64,70.5,-9.2
385,20200112,S37000008,75 - 84,,All,d,64,61,4.9
386,20200112,S37000008,85 and over,,All,d,40,22.5,77.8
387,20200112,S37000008,All ages,d,All,d,677,690,-1.9
388,20200112,S37000008,All ages,d,Female,,324,316,2.5
389,20200112,S37000008,All ages,d,Male,,351,371,-5.4
390,20200112,S37000009,Under 5,,All,d,54,49,10.2
391,20200112,S37000009,5 - 14,,All,d,47,32.5,44.6
392,20200112,S37000009,15 - 44,,All,d,94,101.5,-7.4
393,20200112,S37000009,45 - 64,,All,d,62,66,-6.1
394,20200112,S37000009,65 - 74,,All,d,43,36,19.4
395,20200112,S37000009,75 - 84,,All,d,32,43,-25.6
396,20200112,S37000009,85 and over,,All,d,31,28.5,8.8
397,20200112,S37000009,All ages,d,All,d,366,357,2.5
398,20200112,S37000009,All ages,d,Female,,172,170,1.2
399,20200112,S37000009,All ages,d,Male,,191,186.5,2.4
400,20200112,S37000010,Under 5,,All,d,59,60,-1.7
401,20200112,S37000010,5 - 14,,All,d,39,53.5,-27.1
402,20200112,S37000010,15 - 44,,All,d,137,116.5,17.6
403,20200112,S37000010,45 - 64,,All,d,81,88,-8
404,20200112,S37000010,65 - 74,,All,d,45,41,9.8
405,20200112,S37000010,75 - 84,,All,d,41,39.5,3.8
406,20200112,S37000010,85 and over,,All,d,28,24,16.7
407,20200112,S37000010,All ages,d,All,d,431,425.5,1.3
408,20200112,S37000010,All ages,d,Female,,241,207.5,16.1
409,20200112,S37000010,All ages,d,Male,,189,215,-12.1
410,20200112,S37000011,Under 5,,All,d,30,45,-33.3
411,20200112,S37000011,5 - 14,,All,d,37,39.5,-6.3
412,20200112,S37000011,15 - 44,,All,d,126,101.5,24.1
413,20200112,S37000011,45 - 64,,All,d,81,90,-10
414,20200112,S37000011,65 - 74,,All,d,29,33.5,-13.4
415,20200112,S37000011,75 - 84,,All,d,47,43,9.3
416,20200112,S37000011,85 and over,,All,d,31,30.5,1.6
417,20200112,S37000011,All ages,d,All,d,383,384,-0.3
418,20200112,S37000011,All ages,d,Female,,201,188,6.9
419,20200112,S37000011,All ages,d,Male,,180,195,-7.7
420,20200112,S37000012,Under 5,,All,d,274,307,-10.7
421,20200112,S37000012,5 - 14,,All,d,243,236,3
422,20200112,S37000012,15 - 44,,All,d,628,609.5,3
423,20200112,S37000012,45 - 64,,All,d,386,344,12.2
424,20200112,S37000012,65 - 74,,All,d,137,127,7.9
425,20200112,S37000012,75 - 84,,All,d,135,125.5,7.6
426,20200112,S37000012,85 and over,,All,d,96,106.5,-9.9
427,20200112,S37000012,All ages,d,All,d,1962,1905.5,3
428,20200112,S37000012,All ages,d,Female,,982,920,6.7
429,20200112,S37000012,All ages,d,Male,,917,935.5,-2
430,20200112,S37000013,Under 5,,All,d,42,45.5,-7.7
431,20200112,S37000013,5 - 14,,All,d,60,60.5,-0.8
432,20200112,S37000013,15 - 44,,All,d,279,244.5,14.1
433,20200112,S37000013,45 - 64,,All,d,197,159.5,23.5
434,20200112,S37000013,65 - 74,,All,d,86,63,36.5
435,20200112,S37000013,75 - 84,,All,d,73,71.5,2.1
436,20200112,S37000013,85 and over,,All,d,39,35,11.4
437,20200112,S37000013,All ages,d,All,d,779,692.5,12.5
438,20200112,S37000013,All ages,d,Female,,352,330.5,6.5
439,20200112,S37000013,All ages,d,Male,,424,349,21.5
440,20200112,S37000016,Under 5,,All,d,49,59,-16.9
441,20200112,S37000016,5 - 14,,All,d,56,58.5,-4.3
442,20200112,S37000016,15 - 44,,All,d,317,304.5,4.1
443,20200112,S37000016,45 - 64,,All,d,234,199,17.6
444,20200112,S37000016,65 - 74,,All,d,114,78,46.2
445,20200112,S37000016,75 - 84,,All,d,93,80,16.2
446,20200112,S37000016,85 and over,,All,d,55,45.5,20.9
447,20200112,S37000016,All ages,d,All,d,928,830,11.8
448,20200112,S37000016,All ages,d,Female,,460,393,17
449,20200112,S37000016,All ages,d,Male,,458,431.5,6.1
450,20200112,S37000017,Under 5,,All,d,45,46.5,-3.2
