"id","date","ca","ca_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","positive_pillar1","positive_pillar2"
160,20200304,"S12000018","Inverclyde",0,0,0,NA,0,0,0,1,14,18.1676615624189,1,0,0,NA,1,0,0,0
161,20200304,"S12000019","Midlothian",0,0,0,NA,0,0,0,1,25,26.8384326355341,2,0,0,NA,2,0,0,0
162,20200304,"S12000020","Moray",1,2,2.08964580503605,NA,0,0,0,1,16,16.7171664402884,2,1,50,NA,2,0,1,0
163,20200304,"S12000021","North Ayrshire",0,1,0.74487895716946,NA,0,0,0,7,31,23.0912476722533,12,1,8.33333333333333,NA,12,0,1,0
164,20200304,"S12000023","Orkney Islands",0,0,0,NA,0,0,0,0,5,22.3214285714286,0,0,0,NA,0,0,0,0
165,20200304,"S12000026","Scottish Borders",0,0,0,NA,0,0,0,2,30,26.032627559875,3,0,0,NA,3,0,0,0
166,20200304,"S12000027","Shetland Islands",0,0,0,NA,0,0,0,1,1,4.37254044599913,1,0,0,NA,1,0,0,0
167,20200304,"S12000028","South Ayrshire",0,0,0,NA,0,0,0,1,15,13.3761369716426,1,0,0,NA,1,0,0,0
168,20200304,"S12000029","South Lanarkshire",0,0,0,NA,0,0,0,9,68,21.1956860544854,13,0,0,NA,13,0,0,0
169,20200304,"S12000030","Stirling",0,0,0,NA,0,0,0,4,32,34.0136054421769,7,0,0,NA,7,0,0,0
170,20200304,"S12000033","Aberdeen City",1,1,0.436566838382956,NA,0,0,0,2,46,20.082074565616,3,1,33.3333333333333,NA,3,0,1,0
171,20200304,"S12000034","Aberdeenshire",0,1,0.383464989646445,NA,0,0,0,2,43,16.4889945547971,2,0,0,NA,2,0,0,0
172,20200304,"S12000035","Argyll and Bute",0,0,0,NA,0,0,0,1,9,10.5349408872761,1,0,0,NA,1,0,0,0
173,20200304,"S12000036","City of Edinburgh",1,1,0.189530343808044,NA,0,0,0,19,174,32.9782798225996,25,1,4,NA,25,0,1,0
174,20200304,"S12000038","Renfrewshire",0,0,0,NA,0,0,0,6,35,19.510563576565,10,0,0,NA,10,0,0,0
175,20200304,"S12000039","West Dunbartonshire",0,1,1.13199003848766,NA,0,0,0,6,25,28.2997509621915,11,0,0,NA,11,0,0,0
176,20200304,"S12000040","West Lothian",0,0,0,NA,0,0,0,2,43,23.3924491350234,2,0,0,NA,2,0,0,0
177,20200304,"S12000041","Angus",0,1,0.863408737696425,NA,0,0,0,3,32,27.6290796062856,3,0,0,NA,3,0,0,0
178,20200304,"S12000042","Dundee City",0,0,0,NA,0,0,0,2,26,17.4707700577879,6,0,0,NA,6,0,0,0
179,20200304,"S12000045","East Dunbartonshire",0,0,0,NA,0,0,0,3,23,21.1494252873563,8,0,0,NA,8,0,0,0
180,20200304,"S12000047","Fife",2,2,0.53457354395531,NA,0,0,0,1,83,22.1848020741453,3,2,66.6666666666667,NA,3,0,2,0
181,20200304,"S12000048","Perth and Kinross",0,0,0,NA,0,0,0,4,35,23.0399578697913,11,0,0,NA,11,0,0,0
182,20200304,"S12000049","Glasgow City",0,0,0,NA,0,0,0,35,174,27.3739852746838,53,0,0,NA,53,0,0,0
183,20200304,"S12000050","North Lanarkshire",0,0,0,NA,0,0,0,7,60,17.5880870024037,13,0,0,NA,13,0,0,0
184,20200305,"S12000005","Clackmannanshire",0,2,3.89939559368298,3.89939559368298,0,0,0,4,24,46.7927471241957,4,0,0,12.9032258064516,4,0,0,0
