year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,2,2020-06-07,S08000032,All ages,All,All,1436,1667.5,-13.9
2020,2,2020-06-07,S08000032,All ages,Female,All,683,819.5,-16.7
2020,2,2020-06-07,S08000032,All ages,Male,All,666,799.5,-16.7
2020,2,2020-06-07,S92000003,Under 5,All,All,613,989.5,-38
2020,2,2020-06-07,S92000003,5 - 14,All,All,402,675,-40.4
2020,2,2020-06-07,S92000003,15 - 44,All,All,2394,3041,-21.3
2020,2,2020-06-07,S92000003,45 - 64,All,All,2990,3907.5,-23.5
2020,2,2020-06-07,S92000003,65 - 74,All,All,1936,2694.5,-28.1
2020,2,2020-06-07,S92000003,75 - 84,All,All,1991,2613,-23.8
2020,2,2020-06-07,S92000003,85 and over,All,All,1339,1488,-10
2020,2,2020-06-07,S92000003,All ages,All,All,11666,15408.5,-24.3
2020,2,2020-06-07,S92000003,All ages,Female,All,5745,7719,-25.6
2020,2,2020-06-07,S92000003,All ages,Male,All,5695,7475,-23.8
2020,2,2020-06-14,S08000015,Under 5,All,All,48,84.5,-43.2
2020,2,2020-06-14,S08000015,5 - 14,All,All,18,44.5,-59.6
2020,2,2020-06-14,S08000015,15 - 44,All,All,185,219.5,-15.7
2020,2,2020-06-14,S08000015,45 - 64,All,All,235,301,-21.9
2020,2,2020-06-14,S08000015,65 - 74,All,All,154,196,-21.4
2020,2,2020-06-14,S08000015,75 - 84,All,All,119,217.5,-45.3
2020,2,2020-06-14,S08000015,85 and over,All,All,82,113.5,-27.8
2020,2,2020-06-14,S08000015,All ages,All,All,841,1176.5,-28.5
2020,2,2020-06-14,S08000015,All ages,Female,All,423,603.5,-29.9
2020,2,2020-06-14,S08000015,All ages,Male,All,404,568.5,-28.9
2020,2,2020-06-14,S08000016,Under 5,All,All,11,21,-47.6
2020,2,2020-06-14,S08000016,5 - 14,All,All,6,17,-64.7
2020,2,2020-06-14,S08000016,15 - 44,All,All,23,32,-28.1
2020,2,2020-06-14,S08000016,45 - 64,All,All,38,52.5,-27.6
2020,2,2020-06-14,S08000016,65 - 74,All,All,43,54,-20.4
2020,2,2020-06-14,S08000016,75 - 84,All,All,57,62,-8.1
2020,2,2020-06-14,S08000016,85 and over,All,All,38,39.5,-3.8
2020,2,2020-06-14,S08000016,All ages,All,All,216,278,-22.3
2020,2,2020-06-14,S08000016,All ages,Female,All,96,139,-30.9
2020,2,2020-06-14,S08000016,All ages,Male,All,120,137,-12.4
2020,2,2020-06-14,S08000017,Under 5,All,All,14,34.5,-59.4
2020,2,2020-06-14,S08000017,15 - 44,All,All,35,72,-51.4
2020,2,2020-06-14,S08000017,45 - 64,All,All,75,91.5,-18
2020,2,2020-06-14,S08000017,65 - 74,All,All,59,63,-6.3
2020,2,2020-06-14,S08000017,75 - 84,All,All,64,97,-34
2020,2,2020-06-14,S08000017,85 and over,All,All,52,56.5,-8
2020,2,2020-06-14,S08000017,All ages,All,All,300,431.5,-30.5
2020,2,2020-06-14,S08000017,All ages,Female,All,146,209.5,-30.3
2020,2,2020-06-14,S08000017,All ages,Male,All,145,221.5,-34.5
2020,2,2020-06-14,S08000019,Under 5,All,All,35,78.5,-55.4
2020,3,2020-09-06,S08000026,All ages,Female,All,18,13.5,33.3
2020,3,2020-09-06,S08000026,All ages,Male,All,20,18.5,8.1
2020,3,2020-09-06,S08000028,15 - 44,All,All,9,11,-18.2
2020,3,2020-09-06,S08000028,45 - 64,All,All,7,17,-58.8
2020,3,2020-09-06,S08000028,65 - 74,All,All,8,11,-27.3
2020,3,2020-09-06,S08000028,75 - 84,All,All,10,15.5,-35.5
2020,3,2020-09-06,S08000028,85 and over,All,All,10,7.5,33.3
2020,3,2020-09-06,S08000028,All ages,All,All,44,66,-33.3
2020,3,2020-09-06,S08000028,All ages,Female,All,18,32,-43.8
2020,3,2020-09-06,S08000028,All ages,Male,All,26,32.5,-20
2020,3,2020-09-06,S08000029,Under 5,All,All,33,60,-45
2020,3,2020-09-06,S08000029,5 - 14,All,All,23,39.5,-41.8
2020,3,2020-09-06,S08000029,15 - 44,All,All,163,187.5,-13.1
2020,3,2020-09-06,S08000029,45 - 64,All,All,202,191,5.8
2020,3,2020-09-06,S08000029,65 - 74,All,All,146,161.5,-9.6
2020,3,2020-09-06,S08000029,75 - 84,All,All,162,165.5,-2.1
2020,3,2020-09-06,S08000029,85 and over,All,All,105,92,14.1
2020,3,2020-09-06,S08000029,All ages,All,All,834,897,-7
2020,3,2020-09-06,S08000029,All ages,Female,All,425,453,-6.2
2020,3,2020-09-06,S08000029,All ages,Male,All,407,441,-7.7
2020,3,2020-09-06,S08000030,Under 5,All,All,50,79.5,-37.1
2020,3,2020-09-06,S08000030,5 - 14,All,All,49,65,-24.6
2020,3,2020-09-06,S08000030,15 - 44,All,All,217,248.5,-12.7
2020,2,2020-06-14,S08000022,15 - 44,All,All,134,160,-16.2
2020,2,2020-06-14,S08000022,45 - 64,All,All,131,195,-32.8
2020,2,2020-06-14,S08000022,65 - 74,All,All,110,168,-34.5
2020,2,2020-06-14,S08000022,75 - 84,All,All,118,145.5,-18.9
2020,2,2020-06-14,S08000022,85 and over,All,All,73,86,-15.1
2020,2,2020-06-14,S08000022,All ages,All,All,611,814,-24.9
2020,2,2020-06-14,S08000022,All ages,Female,All,287,403,-28.8
2020,2,2020-06-14,S08000022,All ages,Male,All,313,377.5,-17.1
2020,2,2020-06-14,S08000024,Under 5,All,All,68,135,-49.6
2020,2,2020-06-14,S08000024,5 - 14,All,All,66,103.5,-36.2
2020,2,2020-06-14,S08000024,15 - 44,All,All,374,470,-20.4
2020,2,2020-06-14,S08000024,45 - 64,All,All,441,605,-27.1
2020,2,2020-06-14,S08000024,65 - 74,All,All,308,385.5,-20.1
2020,2,2020-06-14,S08000024,75 - 84,All,All,289,348.5,-17.1
2020,2,2020-06-14,S08000024,85 and over,All,All,188,191,-1.6
2020,2,2020-06-14,S08000024,All ages,All,All,1734,2238.5,-22.5
2020,2,2020-06-14,S08000024,All ages,Female,All,833,1084.5,-23.2
2020,2,2020-06-14,S08000024,All ages,Male,All,892,1112.5,-19.8
2020,2,2020-06-14,S08000025,45 - 64,All,All,8,5,60
2020,2,2020-06-14,S08000025,65 - 74,All,All,7,8,-12.5
2020,2,2020-06-14,S08000025,75 - 84,All,All,7,10,-30
2020,2,2020-06-14,S08000025,85 and over,All,All,5,6.5,-23.1
2020,2,2020-06-14,S08000025,All ages,All,All,31,38,-18.4
2020,2,2020-06-14,S08000025,All ages,Female,All,11,19,-42.1
2020,2,2020-06-14,S08000025,All ages,Male,All,20,15,33.3
2020,2,2020-06-14,S08000026,15 - 44,All,All,8,8,0
2020,2,2020-06-14,S08000026,65 - 74,All,All,9,14,-35.7
2020,2,2020-06-14,S08000026,75 - 84,All,All,10,11,-9.1
2020,2,2020-06-14,S08000026,85 and over,All,All,6,6,0
2020,2,2020-06-14,S08000026,All ages,All,All,38,50,-24
2020,2,2020-06-14,S08000026,All ages,Female,All,18,23.5,-23.4
2020,2,2020-06-14,S08000026,All ages,Male,All,20,23.5,-14.9
2020,2,2020-06-14,S08000028,15 - 44,All,All,8,7.5,6.7
2020,2,2020-06-14,S08000028,45 - 64,All,All,16,17,-5.9
2020,2,2020-06-14,S08000028,65 - 74,All,All,15,15,0
2020,2,2020-06-14,S08000028,75 - 84,All,All,11,16,-31.2
2020,2,2020-06-14,S08000028,85 and over,All,All,8,9.5,-15.8
2020,2,2020-06-14,S08000028,All ages,All,All,61,71,-14.1
2020,2,2020-06-14,S08000028,All ages,Female,All,33,32.5,1.5
2020,2,2020-06-14,S08000028,All ages,Male,All,28,36.5,-23.3
2020,2,2020-06-14,S08000029,Under 5,All,All,36,50,-28
2020,2,2020-06-14,S08000029,5 - 14,All,All,16,32.5,-50.8
2020,2,2020-06-14,S08000029,15 - 44,All,All,139,204,-31.9
2020,2,2020-06-14,S08000029,45 - 64,All,All,159,228,-30.3
2020,2,2020-06-14,S08000029,65 - 74,All,All,120,165,-27.3
2020,2,2020-06-14,S08000029,75 - 84,All,All,116,147.5,-21.4
2020,2,2020-06-14,S08000029,85 and over,All,All,83,98,-15.3
2020,2,2020-06-14,S08000029,All ages,All,All,669,925,-27.7
2020,2,2020-06-14,S08000029,All ages,Female,All,327,465.5,-29.8
2020,2,2020-06-14,S08000029,All ages,Male,All,337,454.5,-25.9
2020,2,2020-06-14,S08000030,Under 5,All,All,41,68.5,-40.1
2020,2,2020-06-14,S08000030,5 - 14,All,All,31,63.5,-51.2
2020,2,2020-06-14,S08000030,15 - 44,All,All,177,252,-29.8
