year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-03-29,S08000022,Under 5,All,All,27,55.5,-51.4
2020,1,2020-03-29,S08000024,Under 5,All,All,86,146.5,-41.3
2020,1,2020-03-29,S08000029,Under 5,All,All,51,75.5,-32.5
2020,1,2020-03-29,S08000030,Under 5,All,All,44,82,-46.3
2020,1,2020-03-29,S08000031,Under 5,All,All,178,284,-37.3
2020,1,2020-03-29,S08000032,Under 5,All,All,116,201,-42.3
2020,1,2020-03-29,S92000003,Under 5,All,All,698,1212.5,-42.4
2020,2,2020-04-05,S08000015,Under 5,All,All,57,103,-44.7
2020,2,2020-04-05,S08000016,Under 5,All,All,13,24.5,-46.9
2020,2,2020-04-05,S08000017,Under 5,All,All,18,43,-58.1
2020,2,2020-04-05,S08000019,Under 5,All,All,26,113,-77
2020,2,2020-04-05,S08000020,Under 5,All,All,39,95,-58.9
2020,2,2020-04-05,S08000022,Under 5,All,All,32,52,-38.5
2020,2,2020-04-05,S08000024,Under 5,All,All,74,147,-49.7
2020,2,2020-04-05,S08000029,Under 5,All,All,42,57.5,-27
2020,2,2020-04-05,S08000030,Under 5,All,All,36,81.5,-55.8
2020,2,2020-04-05,S08000031,Under 5,All,All,130,229.5,-43.4
2020,2,2020-04-05,S08000032,Under 5,All,All,109,193.5,-43.7
2020,2,2020-04-05,S92000003,Under 5,All,All,578,1143.5,-49.5
2020,2,2020-04-12,S08000015,Under 5,All,All,36,90,-60
2020,2,2020-04-12,S08000017,Under 5,All,All,12,36.5,-67.1
2020,2,2020-04-12,S08000019,Under 5,All,All,18,110,-83.6
2020,2,2020-04-12,S08000020,Under 5,All,All,38,83,-54.2
2020,2,2020-04-12,S08000022,Under 5,All,All,22,51,-56.9
2020,2,2020-04-12,S08000024,Under 5,All,All,70,115,-39.1
2020,2,2020-04-12,S08000029,Under 5,All,All,33,55.5,-40.5
2020,2,2020-04-12,S08000030,Under 5,All,All,35,89,-60.7
2020,2,2020-04-12,S08000031,Under 5,All,All,127,269.5,-52.9
2020,2,2020-04-12,S08000032,Under 5,All,All,95,170.5,-44.3
2020,2,2020-04-12,S92000003,Under 5,All,All,490,1097,-55.3
2020,2,2020-04-19,S08000015,Under 5,All,All,36,79.5,-54.7
2020,2,2020-04-19,S08000016,Under 5,All,All,13,19,-31.6
2020,2,2020-04-19,S08000017,Under 5,All,All,12,36,-66.7
2020,2,2020-04-19,S08000019,Under 5,All,All,18,74,-75.7
2020,2,2020-04-19,S08000020,Under 5,All,All,41,91,-54.9
2020,2,2020-04-19,S08000022,Under 5,All,All,20,47.5,-57.9
2020,2,2020-04-19,S08000024,Under 5,All,All,76,139.5,-45.5
2020,2,2020-04-19,S08000029,Under 5,All,All,35,62,-43.5
2020,2,2020-04-19,S08000030,Under 5,All,All,28,71.5,-60.8
2020,2,2020-04-19,S08000031,Under 5,All,All,136,252,-46
