year,quarter,week_ending,hscp,age_group,sex,number_attendances,average20182019,percent_variation
2020,4,2020-10-18,S37000016,65 - 74,All,73,117,-37.6
2020,4,2020-10-18,S37000016,75 - 84,All,66,88.5,-25.4
2020,4,2020-10-18,S37000016,85 and over,All,45,42,7.1
2020,4,2020-10-18,S37000016,All ages,All,707,891.5,-20.7
2020,4,2020-10-18,S37000016,All ages,Female,348,399,-12.8
2020,4,2020-10-18,S37000016,All ages,Male,350,481.5,-27.3
2020,4,2020-10-18,S37000017,Under 5,All,26,40.5,-35.8
2020,4,2020-10-18,S37000017,5 - 14,All,31,35,-11.4
2020,4,2020-10-18,S37000017,15 - 44,All,141,193.5,-27.1
2020,4,2020-10-18,S37000017,45 - 64,All,97,149.5,-35.1
2020,4,2020-10-18,S37000017,65 - 74,All,44,69,-36.2
2020,4,2020-10-18,S37000017,75 - 84,All,43,50.5,-14.9
2020,4,2020-10-18,S37000017,85 and over,All,27,28.5,-5.3
2020,4,2020-10-18,S37000017,All ages,All,413,567,-27.2
2020,4,2020-10-18,S37000017,All ages,Female,208,288,-27.8
2020,4,2020-10-18,S37000017,All ages,Male,201,278.5,-27.8
2020,4,2020-10-18,S37000018,Under 5,All,55,91.5,-39.9
2020,4,2020-10-18,S37000018,5 - 14,All,75,51,47.1
2020,4,2020-10-18,S37000018,15 - 44,All,134,165,-18.8
2020,4,2020-10-18,S37000018,45 - 64,All,92,99.5,-7.5
2020,4,2020-10-18,S37000018,65 - 74,All,52,47.5,9.5
2020,4,2020-10-18,S37000018,75 - 84,All,36,39.5,-8.9
2020,4,2020-10-18,S37000018,85 and over,All,27,20.5,31.7
2020,4,2020-10-18,S37000018,All ages,All,473,519,-8.9
2020,4,2020-10-18,S37000018,All ages,Female,248,261.5,-5.2
2020,4,2020-10-18,S37000018,All ages,Male,223,253,-11.9
2020,4,2020-10-18,S37000019,Under 5,All,27,27,0
2020,4,2020-10-18,S37000019,5 - 14,All,22,25.5,-13.7
2020,4,2020-10-18,S37000019,15 - 44,All,111,172.5,-35.7
2020,4,2020-10-18,S37000019,45 - 64,All,92,106,-13.2
2020,4,2020-10-18,S37000019,65 - 74,All,50,47,6.4
2020,4,2020-10-18,S37000019,75 - 84,All,40,44,-9.1
2020,4,2020-10-18,S37000019,85 and over,All,19,27,-29.6
2020,4,2020-10-18,S37000019,All ages,All,369,456.5,-19.2
2020,4,2020-10-18,S37000019,All ages,Female,180,228.5,-21.2
2020,4,2020-10-18,S37000019,All ages,Male,181,220.5,-17.9
2020,4,2020-10-18,S37000020,Under 5,All,50,70.5,-29.1
2020,4,2020-10-18,S37000020,5 - 14,All,32,52.5,-39
2020,4,2020-10-18,S37000020,15 - 44,All,172,280,-38.6
2020,4,2020-10-18,S37000020,45 - 64,All,124,173.5,-28.5
2020,4,2020-10-18,S37000020,65 - 74,All,49,76,-35.5
2020,4,2020-10-18,S37000020,75 - 84,All,50,65.5,-23.7
2020,4,2020-10-18,S37000020,85 and over,All,27,32,-15.6
2020,4,2020-10-18,S37000020,All ages,All,507,753,-32.7
2020,4,2020-10-18,S37000020,All ages,Female,281,367,-23.4
2020,4,2020-10-18,S37000020,All ages,Male,223,383,-41.8
2020,4,2020-10-18,S37000022,5 - 14,All,5,7.5,-33.3
