year,quarter,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
2020,1,2020-01-19,S37000028,5,65,57,14
2020,1,2020-01-19,S37000029,1,93,95.5,-2.6
2020,1,2020-01-19,S37000029,2,64,56.5,13.3
2020,1,2020-01-19,S37000029,3,33,39.5,-16.5
2020,1,2020-01-19,S37000029,4,23,15.5,48.4
2020,1,2020-01-19,S37000030,1,69,85,-18.8
2020,1,2020-01-19,S37000030,2,113,101,11.9
2020,1,2020-01-19,S37000030,3,72,63.5,13.4
2020,1,2020-01-19,S37000030,4,33,39,-15.4
2020,1,2020-01-19,S37000030,5,26,26.5,-1.9
2020,1,2020-01-19,S37000031,2,19,21.5,-11.6
2020,1,2020-01-19,S37000031,3,57,59,-3.4
2020,1,2020-01-19,S37000031,4,5,2,150
2020,1,2020-01-19,S37000032,1,220,230.5,-4.6
2020,1,2020-01-19,S37000032,2,185,189,-2.1
2020,1,2020-01-19,S37000032,3,134,190,-29.5
2020,1,2020-01-19,S37000032,4,92,119.5,-23
2020,1,2020-01-19,S37000032,5,127,107,18.7
2020,1,2020-01-19,S37000033,1,21,22.5,-6.7
2020,1,2020-01-19,S37000033,2,41,52,-21.2
2020,1,2020-01-19,S37000033,3,88,75.5,16.6
2020,1,2020-01-19,S37000033,4,88,102.5,-14.1
2020,1,2020-01-19,S37000033,5,42,38.5,9.1
2020,1,2020-01-19,S37000034,1,830,863,-3.8
2020,1,2020-01-19,S37000034,2,194,225,-13.8
2020,1,2020-01-19,S37000034,3,102,131,-22.1
2020,1,2020-01-19,S37000034,4,92,89.5,2.8
2020,1,2020-01-19,S37000034,5,58,60,-3.3
2020,1,2020-01-19,S37000035,1,279,304.5,-8.4
2020,1,2020-01-19,S37000035,2,200,199.5,0.3
2020,1,2020-01-19,S37000035,3,103,130.5,-21.1
2020,1,2020-01-19,S37000035,4,44,45,-2.2
2020,1,2020-01-19,S37000035,5,37,29,27.6
2020,1,2020-01-26,S37000001,1,62,55.5,11.7
2020,1,2020-01-26,S37000001,2,115,128.5,-10.5
2020,1,2020-01-26,S37000001,3,74,83,-10.8
2020,1,2020-01-26,S37000001,4,72,74.5,-3.4
2020,1,2020-01-26,S37000001,5,122,109.5,11.4
2020,1,2020-01-26,S37000002,1,22,16,37.5
2020,1,2020-01-26,S37000002,2,51,59,-13.6
2020,1,2020-01-26,S37000002,3,105,91,15.4
2020,1,2020-01-26,S37000002,4,162,159.5,1.6
2020,1,2020-01-26,S37000002,5,93,103.5,-10.1
2020,1,2020-01-26,S37000003,1,28,28.5,-1.8
2020,1,2020-01-26,S37000003,2,52,47,10.6
2020,1,2020-01-26,S37000003,3,85,76,11.8
2020,1,2020-01-26,S37000003,4,68,54.5,24.8
2020,1,2020-01-26,S37000003,5,31,28,10.7
2020,1,2020-01-26,S37000004,1,24,31,-22.6
2020,1,2020-01-26,S37000004,2,58,48.5,19.6
2020,1,2020-01-26,S37000004,3,104,84,23.8
2020,1,2020-01-26,S37000004,4,45,47.5,-5.3
2020,1,2020-01-26,S37000004,5,13,9.5,36.8
2020,1,2020-01-26,S37000005,1,50,79.5,-37.1
2020,1,2020-01-26,S37000005,2,72,68,5.9
2020,1,2020-01-26,S37000005,3,35,42,-16.7
2020,1,2020-01-26,S37000005,4,46,46.5,-1.1
2020,1,2020-01-26,S37000005,5,40,45,-11.1
2020,1,2020-01-26,S37000006,1,45,42.5,5.9
2020,1,2020-01-26,S37000006,2,133,111.5,19.3
2020,1,2020-01-26,S37000006,3,113,121.5,-7
2020,1,2020-01-26,S37000006,4,41,58.5,-29.9
2020,1,2020-01-26,S37000006,5,24,24,0
2020,1,2020-01-26,S37000007,1,158,142,11.3
2020,1,2020-01-26,S37000007,2,79,85.5,-7.6
2020,1,2020-01-26,S37000007,3,46,36.5,26
2020,1,2020-01-26,S37000007,4,35,32,9.4
2020,1,2020-01-26,S37000007,5,37,24,54.2
2020,1,2020-01-26,S37000008,1,133,112,18.8
2020,1,2020-01-26,S37000008,2,72,80.5,-10.6
2020,1,2020-01-26,S37000008,3,32,50.5,-36.6
2020,1,2020-01-26,S37000008,4,31,23.5,31.9
