date,ca,ca_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,positive_pillar1,positive_pillar2
2020-03-03,S12000011,East Renfrewshire,0,0,0,NA,0,0,0,1,11,11.45117634811576,2,0,0,NA,2,0,0,0
2020-03-03,S12000013,Na h-Eileanan Siar,0,0,0,NA,0,0,0,1,1,3.7735849056603774,1,0,0,NA,1,0,0,0
2020-03-03,S12000014,Falkirk,0,0,0,NA,0,0,0,11,46,28.649725959143,21,0,0,NA,21,0,0,0
2020-03-03,S12000017,Highland,0,0,0,NA,0,0,0,3,28,11.89313171643376,4,0,0,NA,4,0,0,0
2020-03-03,S12000018,Inverclyde,0,0,0,NA,0,0,0,3,13,16.869971450817545,3,0,0,NA,3,0,0,0
2020-03-03,S12000019,Midlothian,0,0,0,NA,0,0,0,12,24,25.76489533011272,12,0,0,NA,12,0,0,0
2020-03-03,S12000020,Moray,0,1,1.0448229025180231,NA,0,0,0,1,15,15.672343537770349,1,0,0,NA,1,0,0,0
2020-03-03,S12000021,North Ayrshire,0,1,0.74487895716946,NA,0,0,0,4,24,17.87709497206704,6,0,0,NA,6,0,0,0
2020-03-03,S12000023,Orkney Islands,0,0,0,NA,0,0,0,1,5,22.32142857142857,1,0,0,NA,1,0,0,0
2020-03-03,S12000026,Scottish Borders,0,0,0,NA,0,0,0,2,28,24.297119055883375,2,0,0,NA,2,0,0,0
2020-03-03,S12000028,South Ayrshire,0,0,0,NA,0,0,0,7,14,12.484394506866415,7,0,0,NA,7,0,0,0
2020-03-03,S12000029,South Lanarkshire,0,0,0,NA,0,0,0,18,59,18.39037466492114,21,0,0,NA,21,0,0,0
2020-03-03,S12000030,Stirling,0,0,0,NA,0,0,0,0,28,29.761904761904766,0,0,0,NA,0,0,0,0
2020-03-03,S12000033,Aberdeen City,0,0,0,NA,0,0,0,3,44,19.208940888850083,5,0,0,NA,5,0,0,0
2020-03-03,S12000034,Aberdeenshire,1,1,0.3834649896464453,NA,0,0,0,5,41,15.722064575504255,8,1,12.5,NA,8,0,1,0
2020-03-03,S12000035,Argyll and Bute,0,0,0,NA,0,0,0,5,8,9.364391899801008,6,0,0,NA,6,0,0,0
2020-03-03,S12000036,City of Edinburgh,0,0,0,NA,0,0,0,17,155,29.37720329024677,22,0,0,NA,22,0,0,0
2020-03-03,S12000038,Renfrewshire,0,0,0,NA,0,0,0,1,29,16.165895534868163,3,0,0,NA,3,0,0,0
2020-03-03,S12000039,West Dunbartonshire,1,1,1.131990038487661,NA,0,0,0,4,19,21.507810731265565,12,2,16.666666666666664,NA,12,0,2,0
2020-03-03,S12000040,West Lothian,0,0,0,NA,0,0,0,9,41,22.304428245022304,10,0,0,NA,10,0,0,0
2020-03-03,S12000041,Angus,0,1,0.8634087376964255,NA,0,0,0,1,29,25.03885339319634,9,2,22.22222222222222,NA,9,0,2,0
2020-03-03,S12000042,Dundee City,0,0,0,NA,0,0,0,5,24,16.126864668727322,13,0,0,NA,13,0,0,0
2020-03-03,S12000045,East Dunbartonshire,0,0,0,NA,0,0,0,2,20,18.39080459770115,4,0,0,NA,4,0,0,0
2020-03-03,S12000047,Fife,0,0,0,NA,0,0,0,10,82,21.917515302167697,13,0,0,NA,13,0,0,0
2020-03-03,S12000048,Perth and Kinross,0,0,0,NA,0,0,0,8,31,20.406819827529457,13,0,0,NA,13,0,0,0
2020-03-03,S12000049,Glasgow City,0,0,0,NA,0,0,0,34,139,21.867723868856583,46,0,0,NA,46,0,0,0
2020-03-03,S12000050,North Lanarkshire,0,0,0,NA,0,0,0,6,53,15.53614351878994,13,0,0,NA,13,0,0,0
2020-03-04,S12000005,Clackmannanshire,0,2,3.8993955936829794,NA,0,0,0,3,20,38.99395593682979,11,2,18.181818181818183,NA,11,0,2,0
2020-03-04,S12000006,Dumfries and Galloway,0,0,0,NA,0,0,0,9,52,35.0664238991166,11,0,0,NA,11,0,0,0
2020-03-04,S12000008,East Ayrshire,0,0,0,NA,0,0,0,1,16,13.157894736842104,1,0,0,NA,1,0,0,0
2020-03-04,S12000010,East Lothian,0,0,0,NA,0,0,0,4,22,20.389249304911957,5,0,0,NA,5,0,0,0
2020-03-04,S12000011,East Renfrewshire,0,0,0,NA,0,0,0,4,15,15.61524047470331,8,0,0,NA,8,0,0,0
2020-03-04,S12000013,Na h-Eileanan Siar,0,0,0,NA,0,0,0,1,2,7.547169811320755,1,0,0,NA,1,0,0,0
2020-03-04,S12000014,Falkirk,1,1,0.6228201295465869,NA,0,0,0,9,55,34.25510712506228,14,2,14.285714285714285,NA,14,0,2,0
2020-03-04,S12000017,Highland,0,0,0,NA,0,0,0,6,34,14.441659941383852,7,0,0,NA,7,0,0,0
2020-03-04,S12000018,Inverclyde,0,0,0,NA,0,0,0,1,14,18.167661562418893,1,0,0,NA,1,0,0,0
2020-03-04,S12000019,Midlothian,0,0,0,NA,0,0,0,1,25,26.838432635534083,2,0,0,NA,2,0,0,0
2020-03-04,S12000020,Moray,1,2,2.0896458050360462,NA,0,0,0,1,16,16.71716644028837,2,1,50,NA,2,0,1,0
2020-03-04,S12000021,North Ayrshire,0,1,0.74487895716946,NA,0,0,0,7,31,23.09124767225326,12,1,8.333333333333332,NA,12,0,1,0
2020-03-04,S12000023,Orkney Islands,0,0,0,NA,0,0,0,0,5,22.32142857142857,0,0,0,NA,0,0,0,0
2020-03-04,S12000026,Scottish Borders,0,0,0,NA,0,0,0,2,30,26.03262755987504,3,0,0,NA,3,0,0,0
2020-03-04,S12000027,Shetland Islands,0,0,0,NA,0,0,0,1,1,4.3725404459991255,1,0,0,NA,1,0,0,0
2020-03-04,S12000028,South Ayrshire,0,0,0,NA,0,0,0,1,15,13.37613697164259,1,0,0,NA,1,0,0,0
2020-03-04,S12000029,South Lanarkshire,0,0,0,NA,0,0,0,9,68,21.195686054485385,13,0,0,NA,13,0,0,0
2020-03-04,S12000030,Stirling,0,0,0,NA,0,0,0,4,32,34.01360544217687,7,0,0,NA,7,0,0,0
