year,quarter,week_ending,hscp,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-03-29,S37000025,Under 5,All,All,13,17,-23.5
2020,1,2020-03-29,S37000027,Under 5,All,All,14,30,-53.3
2020,1,2020-03-29,S37000028,Under 5,All,All,58,116.5,-50.2
2020,1,2020-03-29,S37000029,Under 5,All,All,12,22,-45.5
2020,1,2020-03-29,S37000030,Under 5,All,All,34,50,-32
2020,1,2020-03-29,S37000032,Under 5,All,All,61,83.5,-26.9
2020,1,2020-03-29,S37000033,Under 5,All,All,9,23.5,-61.7
2020,1,2020-03-29,S37000034,Under 5,All,All,73,116,-37.1
2020,1,2020-03-29,S37000035,Under 5,All,All,75,126.5,-40.7
2020,2,2020-04-05,S37000001,Under 5,All,All,15,36.5,-58.9
2020,2,2020-04-05,S37000002,Under 5,All,All,16,38.5,-58.4
2020,2,2020-04-05,S37000003,Under 5,All,All,11,22.5,-51.1
2020,2,2020-04-05,S37000005,Under 5,All,All,11,41,-73.2
2020,2,2020-04-05,S37000006,Under 5,All,All,19,45,-57.8
2020,2,2020-04-05,S37000007,Under 5,All,All,17,40.5,-58
2020,2,2020-04-05,S37000008,Under 5,All,All,25,33.5,-25.4
2020,2,2020-04-05,S37000009,Under 5,All,All,5,12,-58.3
2020,2,2020-04-05,S37000011,Under 5,All,All,8,10,-20
2020,2,2020-04-05,S37000012,Under 5,All,All,24,54.5,-56
2020,2,2020-04-05,S37000013,Under 5,All,All,17,75.5,-77.5
2020,2,2020-04-05,S37000016,Under 5,All,All,34,47,-27.7
2020,2,2020-04-05,S37000017,Under 5,All,All,7,10.5,-33.3
2020,2,2020-04-05,S37000018,Under 5,All,All,10,18,-44.4
2020,2,2020-04-05,S37000019,Under 5,All,All,7,20,-65
2020,2,2020-04-05,S37000020,Under 5,All,All,16,42.5,-62.4
