year,quarter,week_ending,hb,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-26,S08000017,2,All,139,125.5,10.8
2020,1,2020-01-26,S08000017,3,All,150,165.5,-9.4
2020,1,2020-01-26,S08000017,4,All,59,61.5,-4.1
2020,1,2020-01-26,S08000017,5,All,33,36,-8.3
2020,1,2020-01-26,S08000019,1,All,176,353.5,-50.2
2020,1,2020-01-26,S08000019,2,All,189,307.5,-38.5
2020,1,2020-01-26,S08000019,3,All,174,307,-43.3
2020,1,2020-01-26,S08000019,4,All,126,240.5,-47.6
2020,1,2020-01-26,S08000019,5,All,111,179,-38
2020,1,2020-01-26,S08000020,1,All,104,107.5,-3.3
2020,1,2020-01-26,S08000020,2,All,262,274,-4.4
2020,1,2020-01-26,S08000020,3,All,298,289,3.1
2020,1,2020-01-26,S08000020,4,All,366,387,-5.4
2020,1,2020-01-26,S08000020,5,All,305,309.5,-1.5
2020,1,2020-01-26,S08000022,1,All,101,103,-1.9
2020,1,2020-01-26,S08000022,2,All,145,173.5,-16.4
2020,1,2020-01-26,S08000022,3,All,286,259.5,10.2
2020,1,2020-01-26,S08000022,4,All,181,203,-10.8
2020,1,2020-01-26,S08000022,5,All,54,49,10.2
2020,1,2020-01-26,S08000024,1,All,397,355,11.8
2020,1,2020-01-26,S08000024,2,All,632,541,16.8
2020,1,2020-01-26,S08000024,3,All,459,409,12.2
2020,1,2020-01-26,S08000024,4,All,412,366,12.6
2020,1,2020-01-26,S08000024,5,All,535,470.5,13.7
2020,1,2020-01-26,S08000025,2,All,5,7.5,-33.3
2020,1,2020-01-26,S08000025,3,All,7,11.5,-39.1
2020,1,2020-01-26,S08000025,4,All,13,23,-43.5
2020,1,2020-01-26,S08000026,3,All,17,14.5,17.2
2020,1,2020-01-26,S08000026,4,All,26,20,30
2020,1,2020-01-26,S08000028,2,All,7,13,-46.2
2020,1,2020-01-26,S08000028,3,All,57,65,-12.3
2020,1,2020-01-26,S08000029,1,All,257,242.5,6
2020,1,2020-01-26,S08000029,2,All,222,223.5,-0.7
2020,1,2020-01-26,S08000029,3,All,197,189.5,4
2020,1,2020-01-26,S08000029,4,All,153,146.5,4.4
2020,1,2020-01-26,S08000029,5,All,110,113,-2.7
2020,1,2020-01-26,S08000030,1,All,267,279,-4.3
2020,1,2020-01-26,S08000030,2,All,252,257,-1.9
2020,1,2020-01-26,S08000030,3,All,278,249.5,11.4
2020,1,2020-01-26,S08000030,4,All,305,312,-2.2
2020,1,2020-01-26,S08000030,5,All,187,209.5,-10.7
2020,1,2020-01-26,S08000031,1,All,1601,1697.5,-5.7
2020,1,2020-01-26,S08000031,2,All,809,763,6
2020,1,2020-01-26,S08000031,3,All,640,550,16.4
2020,1,2020-01-26,S08000031,4,All,470,508,-7.5
2020,1,2020-01-26,S08000031,5,All,613,584,5
2020,1,2020-01-26,S08000032,1,All,572,605,-5.5
2020,1,2020-01-26,S08000032,2,All,449,513,-12.5
2020,1,2020-01-26,S08000032,3,All,268,317,-15.5
2020,1,2020-01-26,S08000032,4,All,203,232,-12.5
2020,1,2020-01-26,S08000032,5,All,133,162,-17.9
2020,1,2020-01-26,S92000003,1,All,3907,4252.5,-8.1
2020,1,2020-01-26,S92000003,2,All,3429,3522.5,-2.7
2020,1,2020-01-26,S92000003,3,All,3092,3127,-1.1
2020,1,2020-01-26,S92000003,4,All,2511,2706,-7.2
2020,1,2020-01-26,S92000003,5,All,2192,2244,-2.3
2020,1,2020-02-02,S08000015,1,All,396,447,-11.4
2020,1,2020-02-02,S08000015,2,All,244,270.5,-9.8
2020,1,2020-02-02,S08000015,3,All,174,197.5,-11.9
2020,1,2020-02-02,S08000015,4,All,138,116.5,18.5
2020,1,2020-02-02,S08000015,5,All,96,118,-18.6
2020,1,2020-02-02,S08000016,1,All,24,21.5,11.6
2020,1,2020-02-02,S08000016,2,All,46,63,-27
2020,1,2020-02-02,S08000016,3,All,103,84.5,21.9
2020,1,2020-02-02,S08000016,4,All,67,67.5,-0.7
2020,1,2020-02-02,S08000016,5,All,18,14,28.6
2020,1,2020-02-02,S08000017,1,All,45,49,-8.2
2020,1,2020-02-02,S08000017,2,All,142,135.5,4.8
