date,country,sex,age_group,daily_positive,cumulative_positive,crude_rate_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,cumulative_negative,crude_rate_negative
2020-03-05,S92000003,Female,45 to 64,0,1,0.1295051607806571,0,0,0,227,29.39767149720916
2020-03-05,S92000003,Female,60+,0,1,0.13120828396621648,0,0,0,161,21.124533718560855
2020-03-05,S92000003,Female,65 to 74,0,1,0.32698545568693105,0,0,0,72,23.542952809459035
2020-03-05,S92000003,Female,75 to 84,0,0,0,0,0,0,19,9.89428735093475
2020-03-05,S92000003,Female,85plus,0,0,0,0,0,0,14,16.985138004246284
2020-03-05,S92000003,Female,Total,1,5,0.17852118760863014,0,0,0,713,25.457121352990654
2020-03-05,S92000003,Male,0 to 14,0,0,0,0,0,0,161,36.53436385957189
2020-03-05,S92000003,Male,0 to 59,1,10,0.4953658524503272,0,0,0,596,29.5238048060395
2020-03-05,S92000003,Male,15 to 19,0,0,0,0,0,0,21,14.5623998835008
2020-03-05,S92000003,Male,20 to 24,0,0,0,0,0,0,34,19.618931114470698
2020-03-05,S92000003,Male,25 to 44,0,5,0.7057750751297567,0,0,0,200,28.23100300519027
2020-03-05,S92000003,Male,45 to 64,1,5,0.6917734303660865,0,0,0,233,32.23664185505963
2020-03-05,S92000003,Male,60+,0,0,0,0,0,0,158,24.439212871731257
2020-03-05,S92000003,Male,65 to 74,0,0,0,0,0,0,72,25.674032499046135
2020-03-05,S92000003,Male,75 to 84,0,0,0,0,0,0,27,18.063100430838393
2020-03-05,S92000003,Male,85plus,0,0,0,0,0,0,6,13.075883711807524
2020-03-05,S92000003,Male,Total,1,10,0.3752046741497487,0,0,0,754,28.29043243089105
2020-03-05,S92000003,Total,0 to 14,0,0,0,0,0,0,278,32.333476779213534
2020-03-05,S92000003,Total,0 to 59,2,14,0.34505272035867735,0,0,0,1150,28.343616315177073
2020-03-05,S92000003,Total,15 to 19,0,0,0,0,0,0,39,13.823904721395152
2020-03-05,S92000003,Total,20 to 24,1,1,0.29260727714298257,0,0,0,94,27.505084051440363
2020-03-05,S92000003,Total,25 to 44,0,7,0.4890641756997984,0,0,0,388,27.10812859593168
2020-03-05,S92000003,Total,45 to 64,1,6,0.4013512157597244,0,0,0,460,30.7702598749122
2020-03-05,S92000003,Total,60+,0,1,0.0709900053171514,0,0,0,319,22.645811696171297
2020-03-05,S92000003,Total,65 to 74,0,1,0.170571910558913,0,0,0,144,24.56235512048347
2020-03-05,S92000003,Total,75 to 84,0,0,0,0,0,0,46,13.469748701340531
2020-03-05,S92000003,Total,85plus,0,0,0,0,0,0,20,15.58712814957408
2020-03-05,S92000003,Total,Total,2,15,0.27442371020856204,0,0,0,1469,26.875228686425174
2020-03-06,S92000003,Female,0 to 14,0,0,0,0,0,0,141,33.642799367229046
2020-03-06,S92000003,Female,0 to 59,3,7,0.3433659972501289,0,0,0,624,30.60862604058292
2020-03-06,S92000003,Female,15 to 19,0,0,0,0,0,0,19,13.776801316772168
2020-03-06,S92000003,Female,20 to 24,1,2,1.187274788813497,0,0,0,65,38.58643063643865
2020-03-06,S92000003,Female,25 to 44,1,3,0.41501582593682906,0,0,0,202,27.944398946413155
2020-03-06,S92000003,Female,45 to 64,1,2,0.2590103215613142,0,0,0,256,33.15332115984822
2020-03-06,S92000003,Female,60+,0,1,0.13120828396621648,0,0,0,182,23.879907681851403
2020-03-06,S92000003,Female,65 to 74,0,1,0.32698545568693105,0,0,0,80,26.15883645495448
2020-03-06,S92000003,Female,75 to 84,0,0,0,0,0,0,26,13.539551111805446
2020-03-06,S92000003,Female,85plus,0,0,0,0,0,0,17,20.62481043372763
2020-03-06,S92000003,Female,Total,3,8,0.28563390017380824,0,0,0,806,28.77761544251118
2020-03-06,S92000003,Male,0 to 14,0,0,0,0,0,0,182,41.299715667342134
2020-03-06,S92000003,Male,0 to 59,2,12,0.5944390229403926,0,0,0,659,32.64460967647656
2020-03-06,S92000003,Male,15 to 19,0,0,0,0,0,0,23,15.94929511050088
2020-03-06,S92000003,Male,20 to 24,0,0,0,0,0,0,37,21.35001327162987
2020-03-06,S92000003,Male,25 to 44,1,6,0.846930090155708,0,0,0,217,30.630638260631443
2020-03-06,S92000003,Male,45 to 64,1,6,0.8301281164393038,0,0,0,256,35.41879963474363
2020-03-06,S92000003,Male,60+,1,1,0.15467856247931175,0,0,0,181,27.996819808755426
2020-03-06,S92000003,Male,65 to 74,1,1,0.3565837847089741,0,0,0,81,28.883286561426907
2020-03-06,S92000003,Male,75 to 84,0,0,0,0,0,0,35,23.415130188123843
2020-03-06,S92000003,Male,85plus,0,0,0,0,0,0,9,19.613825567711284
2020-03-06,S92000003,Male,Total,3,13,0.4877660763946733,0,0,0,840,31.51719262857889
2020-03-06,S92000003,Total,0 to 14,0,0,0,0,0,0,323,37.56731294851068
2020-03-06,S92000003,Total,0 to 59,5,19,0.4682858347724907,0,0,0,1285,31.670910404350032
2020-03-06,S92000003,Total,15 to 19,0,0,0,0,0,0,42,14.887282007656315
2020-03-06,S92000003,Total,20 to 24,1,2,0.5852145542859651,0,0,0,103,30.138549545727205
2020-03-06,S92000003,Total,25 to 44,2,9,0.6287967973283123,0,0,0,420,29.343850541987905
2020-03-06,S92000003,Total,45 to 64,2,8,0.5351349543462992,0,0,0,512,34.24863707816315
2020-03-06,S92000003,Total,60+,1,2,0.1419800106343028,0,0,0,363,25.76937193012596
2020-03-06,S92000003,Total,65 to 74,1,2,0.341143821117826,0,0,0,161,27.462077599984987
2020-03-06,S92000003,Total,75 to 84,0,0,0,0,0,0,61,17.862058060473316
2020-03-06,S92000003,Total,85plus,0,0,0,0,0,0,26,20.263266594446307
2020-03-06,S92000003,Total,Total,6,21,0.3841931942919868,0,0,0,1648,30.150018294914013
